municipio,ano,perc_form_superior,n_docentes
Anápolis,2015,77.0,7800
Anápolis,2016,78.5,7950
Anápolis,2017,80.2,8100
Anápolis,2018,82.0,8200
Anápolis,2019,83.8,8350
Anápolis,2020,84.5,8100
Anápolis,2021,85.6,8400
Anápolis,2022,87.2,8550
Anápolis,2023,89.0,8700
Anápolis,2024,91.2,8850
Aparecida de Goiânia,2015,75.2,6200
Aparecida de Goiânia,2016,76.8,6450
Aparecida de Goiânia,2017,78.0,6700
Aparecida de Goiânia,2018,79.5,6900
Aparecida de Goiânia,2019,81.2,7100
Aparecida de Goiânia,2020,82.0,6950
Aparecida de Goiânia,2021,83.1,7200
Aparecida de Goiânia,2022,84.8,7350
Aparecida de Goiânia,2023,86.0,7500
Aparecida de Goiânia,2024,88.6,7750
Catalão,2015,65.0,2400
Catalão,2016,67.2,2450
Catalão,2017,69.5,2500
Catalão,2018,71.0,2550
Catalão,2019,73.2,2600
Catalão,2020,74.6,2550
Catalão,2021,76.0,2650
Catalão,2022,78.5,2700
Catalão,2023,81.0,2780
Catalão,2024,84.5,2860
Goiânia,2015,83.5,18200
Goiânia,2016,85.1,18600
Goiânia,2017,86.8,19000
Goiânia,2018,88.2,19400
Goiânia,2019,89.6,19800
Goiânia,2020,90.1,19950
Goiânia,2021,90.8,20100
Goiânia,2022,91.5,20500
Goiânia,2023,92.0,21000
Goiânia,2024,91.3,21400
